,No.,Time,Source,Destination,Protocol,Length,Info
282470,288599,14746.323688,10.0.0.45,31.13.93.40,TCP,54,"50635  >  443 [RST, ACK] Seq=487042 Ack=2882 Win=0 Len=0"
282471,288600,14746.323929,10.0.0.45,31.13.93.40,TCP,54,50635  >  443 [RST] Seq=487041 Win=0 Len=0
282472,288601,14746.354108,31.13.93.40,10.0.0.45,TCP,54,443  >  50635 [ACK] Seq=2883 Ack=487042 Win=523008 Len=0
282969,289187,14769.92059,10.0.0.45,54.240.166.244,TCP,66,[TCP Dup ACK 289185#1] 50673  >  80 [ACK] Seq=440 Ack=142494 Win=66560 Len=0 SLE=146850 SRE=148302
282970,289188,14769.920758,10.0.0.45,54.240.166.244,TCP,66,[TCP Dup ACK 289185#2] 50673  >  80 [ACK] Seq=440 Ack=142494 Win=66560 Len=0 SLE=146850 SRE=149754
282971,289189,14769.920819,10.0.0.45,54.240.166.244,TCP,66,[TCP Dup ACK 289185#3] 50673  >  80 [ACK] Seq=440 Ack=142494 Win=66560 Len=0 SLE=146850 SRE=151206
282972,289190,14769.920897,10.0.0.45,54.240.166.244,TCP,66,[TCP Dup ACK 289185#4] 50673  >  80 [ACK] Seq=440 Ack=142494 Win=66560 Len=0 SLE=146850 SRE=152658
282973,289191,14769.920963,10.0.0.45,54.240.166.244,TCP,66,[TCP Dup ACK 289185#5] 50673  >  80 [ACK] Seq=440 Ack=142494 Win=66560 Len=0 SLE=146850 SRE=154110
282974,289192,14769.921017,10.0.0.45,54.240.166.244,TCP,66,[TCP Dup ACK 289185#6] 50673  >  80 [ACK] Seq=440 Ack=142494 Win=66560 Len=0 SLE=146850 SRE=155562
282975,289193,14769.92107,10.0.0.45,54.240.166.244,TCP,66,[TCP Dup ACK 289185#7] 50673  >  80 [ACK] Seq=440 Ack=142494 Win=66560 Len=0 SLE=146850 SRE=157014
282976,289194,14769.921123,10.0.0.45,54.240.166.244,TCP,66,[TCP Dup ACK 289185#8] 50673  >  80 [ACK] Seq=440 Ack=142494 Win=66560 Len=0 SLE=146850 SRE=158466
282977,289195,14769.921176,10.0.0.45,54.240.166.244,TCP,66,[TCP Dup ACK 289185#9] 50673  >  80 [ACK] Seq=440 Ack=142494 Win=66560 Len=0 SLE=146850 SRE=159918
282978,289196,14769.921283,10.0.0.45,54.240.166.244,TCP,66,[TCP Dup ACK 289185#10] 50673  >  80 [ACK] Seq=440 Ack=142494 Win=66560 Len=0 SLE=146850 SRE=161370
282979,289197,14769.921467,10.0.0.45,54.240.166.244,TCP,66,[TCP Dup ACK 289185#11] 50673  >  80 [ACK] Seq=440 Ack=142494 Win=66560 Len=0 SLE=146850 SRE=162822
282980,289198,14769.921637,10.0.0.45,192.0.72.16,TCP,54,50676  >  443 [ACK] Seq=782 Ack=62730 Win=62208 Len=0
282981,289199,14769.92189,10.0.0.45,192.0.72.16,TCP,54,[TCP Window Update] 50676  >  443 [ACK] Seq=782 Ack=62730 Win=66560 Len=0
282982,289200,14769.92288,10.0.0.45,192.0.72.16,TCP,54,50676  >  443 [ACK] Seq=782 Ack=75119 Win=63488 Len=0
282983,289201,14769.923218,10.0.0.45,192.0.72.16,TCP,54,[TCP Window Update] 50676  >  443 [ACK] Seq=782 Ack=75119 Win=66560 Len=0
282984,289202,14769.924334,10.0.0.45,192.0.72.16,TCP,54,50676  >  443 [ACK] Seq=782 Ack=89639 Win=60928 Len=0
282985,289203,14769.924638,10.0.0.45,192.0.72.16,TCP,54,[TCP Window Update] 50676  >  443 [ACK] Seq=782 Ack=89639 Win=66560 Len=0
282986,289204,14769.927469,10.0.0.45,192.0.72.16,TCP,54,50676  >  443 [ACK] Seq=782 Ack=102707 Win=62208 Len=0
282987,289205,14769.927845,10.0.0.45,192.0.72.16,TCP,54,[TCP Window Update] 50676  >  443 [ACK] Seq=782 Ack=102707 Win=66560 Len=0
282988,289206,14769.929093,10.0.0.45,192.0.72.16,TCP,54,50676  >  443 [ACK] Seq=782 Ack=105611 Win=66560 Len=0
282989,289207,14769.929254,10.0.0.45,54.240.166.244,TCP,54,50672  >  80 [ACK] Seq=434 Ack=238129 Win=66560 Len=0
282990,289208,14769.954759,54.240.166.244,10.0.0.45,TCP,1506,[TCP Previous segment not captured] 80  >  50672 [ACK] Seq=255553 Ack=434 Win=15872 Len=1452 [TCP segment of a reassembled PDU]
282991,289209,14769.957203,54.240.166.244,10.0.0.45,TCP,1506,80  >  50672 [ACK] Seq=257005 Ack=434 Win=15872 Len=1452 [TCP segment of a reassembled PDU]
282992,289210,14769.959205,54.240.166.244,10.0.0.45,TCP,1506,80  >  50672 [ACK] Seq=258457 Ack=434 Win=15872 Len=1452 [TCP segment of a reassembled PDU]
282993,289211,14769.960458,54.240.166.244,10.0.0.45,TCP,1506,80  >  50672 [ACK] Seq=259909 Ack=434 Win=15872 Len=1452 [TCP segment of a reassembled PDU]
282994,289212,14769.960778,54.240.166.244,10.0.0.45,TCP,1506,"80  >  50672 [PSH, ACK] Seq=261361 Ack=434 Win=15872 Len=1452 [TCP segment of a reassembled PDU]"
282995,289213,14769.965075,192.0.72.16,10.0.0.45,TLSv1.2,1506,Application Data [TCP segment of a reassembled PDU]
282996,289214,14769.966654,10.0.0.45,54.240.166.244,TCP,66,[TCP Dup ACK 289207#1] 50672  >  80 [ACK] Seq=434 Ack=238129 Win=66560 Len=0 SLE=255553 SRE=257005
282997,289215,14769.966835,10.0.0.45,54.240.166.244,TCP,66,[TCP Dup ACK 289207#2] 50672  >  80 [ACK] Seq=434 Ack=238129 Win=66560 Len=0 SLE=255553 SRE=258457
282998,289216,14769.966895,10.0.0.45,54.240.166.244,TCP,66,[TCP Dup ACK 289207#3] 50672  >  80 [ACK] Seq=434 Ack=238129 Win=66560 Len=0 SLE=255553 SRE=259909
282999,289217,14769.966951,10.0.0.45,54.240.166.244,TCP,66,[TCP Dup ACK 289207#4] 50672  >  80 [ACK] Seq=434 Ack=238129 Win=66560 Len=0 SLE=255553 SRE=261361
283000,289218,14769.967005,10.0.0.45,54.240.166.244,TCP,66,[TCP Dup ACK 289207#5] 50672  >  80 [ACK] Seq=434 Ack=238129 Win=66560 Len=0 SLE=255553 SRE=262813
283001,289219,14769.968562,192.0.72.16,10.0.0.45,TLSv1.2,1506,Application Data [TCP segment of a reassembled PDU]
283002,289220,14769.970801,192.0.72.16,10.0.0.45,TLSv1.2,1506,Application Data [TCP segment of a reassembled PDU]
